inputs,prediction,expected_output,score,cost
"Write a function to find the surface area of a cylinder.

def surfacearea_cylinder(r,h):","import math
def surfacearea_cylinder(r, h):
    base_area = 2 * math.pi * r ** 2
    lateral_area = 2 * math.pi * r * h
    return base_area + lateral_area","Error: .
 Solution: import math
def surfacearea_cylinder(r, h):
    base_area = 2 * math.pi * r ** 2
    lateral_area = 2 * math.pi * r * h
    return base_area + lateral_area.
 Test: def check():
    assert surfacearea_cylinder(10,5)==942.45
    assert surfacearea_cylinder(4,5)==226.18800000000002
    assert surfacearea_cylinder(4,10)==351.848

Correct Solution:def surfacearea_cylinder(r,h):
  surfacearea=((2*3.1415*r*r) +(2*3.1415*r*h))
  return surfacearea",0.0,0.0
"Write a function to convert a snake case string to camel case string.

def snake_to_camel(word):","def snake_to_camel(word):
    parts = word.split('_')
    return parts[0] + ''.join((x.title() for x in parts[1:]))","Error: .
 Solution: def snake_to_camel(word):
    parts = word.split('_')
    return parts[0] + ''.join((x.title() for x in parts[1:])).
 Test: def check():
    assert snake_to_camel('python_program')=='PythonProgram'
    assert snake_to_camel('python_language')==('PythonLanguage')
    assert snake_to_camel('programming_language')==('ProgrammingLanguage')

Correct Solution:def snake_to_camel(word):
        import re
        return ''.join(x.capitalize() or '_' for x in word.split('_'))",0.0,0.0
"Write a function to return two words from a list of words starting with letter 'p'.
import re
def start_withp(words):","import re
def start_withp(words):
    p_words = [word for word in words if re.match('^[pP]', word)]
    return tuple(p_words[:2]) if len(p_words) >= 2 else tuple(p_words)","Error: .
 Solution: import re
def start_withp(words):
    p_words = [word for word in words if re.match('^[pP]', word)]
    return tuple(p_words[:2]) if len(p_words) >= 2 else tuple(p_words).
 Test: def check():
    assert start_withp([""Python PHP"", ""Java JavaScript"", ""c c++""])==('Python', 'PHP')
    assert start_withp([""Python Programming"",""Java Programming""])==('Python','Programming')
    assert start_withp([""Pqrst Pqr"",""qrstuv""])==('Pqrst','Pqr')

Correct Solution:import re
def start_withp(words):
 for w in words:
        m = re.match(""(P\w+)\W(P\w+)"", w)
        if m:
            return m.groups()",0.0,0.0
"Write a function to find the nth hexagonal number.

def hexagonal_num(n): ","def hexagonal_num(n):
    return n * (2 * n - 1)","The solution passed all test cases.
Correct Solution:def hexagonal_num(n): 
	return n*(2*n - 1) ",1.0,0.0
"Write a function to extract the number of unique tuples in the given list.

def extract_freq(test_list):","def extract_freq(test_list):
    return len(set(test_list))","Error: .
 Solution: def extract_freq(test_list):
    return len(set(test_list)).
 Test: def check():
    assert extract_freq([(3, 4), (1, 2), (4, 3), (5, 6)] ) == 3
    assert extract_freq([(4, 15), (2, 3), (5, 4), (6, 7)] ) == 4
    assert extract_freq([(5, 16), (2, 3), (6, 5), (6, 9)] ) == 4

Correct Solution:def extract_freq(test_list):
  res = len(list(set(tuple(sorted(sub)) for sub in test_list)))
  return (res)",0.0,0.0
"Write a python function to calculate the product of the unique numbers in a given list.

def unique_product(list_data):","def unique_product(list_data):
    unique_numbers = list(set(list_data))
    product = 1
    for num in unique_numbers:
        product *= num
    return product","The solution passed all test cases.
Correct Solution:def unique_product(list_data):
    temp = list(set(list_data))
    p = 1
    for i in temp:
        p *= i
    return p",1.0,0.0
"Write a python function to reverse only the vowels of a given string (where y is not a vowel).

def reverse_vowels(str1):","def reverse_vowels(str1):
    vowels = {'a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U'}
    str_list = list(str1)
    vowel_indices = []
    vowel_chars = []
    for (i, char) in enumerate(str_list):
        if char in vowels:
            vowel_indices.append(i)
            vowel_chars.append(char)
    vowel_chars.reverse()
    for (idx, v_idx) in enumerate(vowel_indices):
        str_list[v_idx] = vowel_chars[idx]
    return ''.join(str_list)","The solution passed all test cases.
Correct Solution:def reverse_vowels(str1):
	vowels = """"
	for char in str1:
		if char in ""aeiouAEIOU"":
			vowels += char
	result_string = """"
	for char in str1:
		if char in ""aeiouAEIOU"":
			result_string += vowels[-1]
			vowels = vowels[:-1]
		else:
			result_string += char
	return result_string",1.0,0.0
"Write a python function to find the maximum difference between any two elements in a given array.

def max_Abs_Diff(arr): ","def max_Abs_Diff(arr):
    if len(arr) < 2:
        return 0
    min_val = arr[0]
    max_val = arr[0]
    for num in arr[1:]:
        if num < min_val:
            min_val = num
        elif num > max_val:
            max_val = num
    return max_val - min_val","The solution passed all test cases.
Correct Solution:def max_Abs_Diff(arr): 
    n = len(arr)
    minEle = arr[0] 
    maxEle = arr[0] 
    for i in range(1, n): 
        minEle = min(minEle,arr[i]) 
        maxEle = max(maxEle,arr[i]) 
    return (maxEle - minEle) ",1.0,0.0
"Write a function to convert the given tuple to a key-value dictionary using adjacent elements. https://www.geeksforgeeks.org/python-convert-tuple-to-adjacent-pair-dictionary/

def tuple_to_dict(test_tup):","def tuple_to_dict(test_tup):
    return {test_tup[i]: test_tup[i + 1] for i in range(0, len(test_tup), 2)}","The solution passed all test cases.
Correct Solution:def tuple_to_dict(test_tup):
  res = dict(test_tup[idx : idx + 2] for idx in range(0, len(test_tup), 2))
  return (res) ",1.0,0.0
"Write a function to find the number of ways to partition a set of Bell numbers.

def bell_number(n):   ","def bell_number(n):
    if n == 0:
        return 1
    bell = [[0] * (n + 1) for _ in range(n + 1)]
    bell[0][0] = 1
    for i in range(1, n + 1):
        bell[i][0] = bell[i - 1][i - 1]
        for j in range(1, i + 1):
            bell[i][j] = bell[i - 1][j - 1] + bell[i][j - 1]
    return bell[n][0]","The solution passed all test cases.
Correct Solution:def bell_number(n):   
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1): 
        bell[i][0] = bell[i-1][i-1]  
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1]   
    return bell[n][0] ",1.0,0.0
"Write a python function to get the difference between two lists.

def Diff(li1,li2):","def Diff(li1, li2):
    return list(set(li1) - set(li2)) + list(set(li2) - set(li1))","The solution passed all test cases.
Correct Solution:def Diff(li1,li2):
    return list(set(li1)-set(li2)) + list(set(li2)-set(li1))
 ",1.0,0.0
"Write a function to find the n'th lucas number.

def find_lucas(n): ","def find_lucas(n):
    if n == 0:
        return 2
    elif n == 1:
        return 1
    (a, b) = (2, 1)
    for _ in range(2, n + 1):
        (a, b) = (b, a + b)
    return b","The solution passed all test cases.
Correct Solution:def find_lucas(n): 
	if (n == 0): 
		return 2
	if (n == 1): 
		return 1
	return find_lucas(n - 1) + find_lucas(n - 2) ",1.0,0.0
"Write a python function to find the maximum of two numbers.

def maximum(a,b):   ","def maximum(a, b):
    return a if a > b else b","The solution passed all test cases.
Correct Solution:def maximum(a,b):   
    if a >= b: 
        return a 
    else: 
        return b ",1.0,0.0
"Write a function to get the frequency of all the elements in a list, returned as a dictionary.
import collections
def freq_count(list1):","import collections
def freq_count(list1):
    return dict(collections.Counter(list1))","The solution passed all test cases.
Correct Solution:import collections
def freq_count(list1):
  freq_count= collections.Counter(list1)
  return freq_count",1.0,0.0
"Write a function to find the maximum sum possible by using the given equation f(n) = max( (f(n/2) + f(n/3) + f(n/4) + f(n/5)), n).

def get_max_sum (n):","from functools import lru_cache
@lru_cache(maxsize=None)
def get_max_sum(n):
    if n == 0:
        return 0
    return max(get_max_sum(n // 2) + get_max_sum(n // 3) + get_max_sum(n // 4) + get_max_sum(n // 5), n)","The solution passed all test cases.
Correct Solution:def get_max_sum (n):
	res = list()
	res.append(0)
	res.append(1)
	i = 2
	while i<n + 1:
		res.append(max(i, (res[int(i / 2)] 
						+ res[int(i / 3)] +
							res[int(i / 4)]
						+ res[int(i / 5)])))
		i = i + 1
	return res[n]",1.0,0.0
"Write a python function to find the sum of an array.

def _sum(arr):  ","def _sum(arr):
    return sum(arr)","The solution passed all test cases.
Correct Solution:def _sum(arr):  
    sum=0
    for i in arr: 
        sum = sum + i      
    return(sum)  ",1.0,0.0
"Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)

def is_majority(arr, n, x):","def is_majority(arr, n, x):
    if n == 0:
        return False
    left = 0
    right = n - 1
    first = -1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == x:
            first = mid
            right = mid - 1
        elif arr[mid] < x:
            left = mid + 1
        else:
            right = mid - 1
    if first == -1:
        return False
    left = 0
    right = n - 1
    last = -1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == x:
            last = mid
            left = mid + 1
        elif arr[mid] < x:
            left = mid + 1
        else:
            right = mid - 1
    count = last - first + 1
    return count > n / 2","The solution passed all test cases.
Correct Solution:def is_majority(arr, n, x):
	i = binary_search(arr, 0, n-1, x)
	if i == -1:
		return False
	if ((i + n//2) <= (n -1)) and arr[i + n//2] == x:
		return True
	else:
		return False
def binary_search(arr, low, high, x):
	if high >= low:
		mid = (low + high)//2 
		if (mid == 0 or x > arr[mid-1]) and (arr[mid] == x):
			return mid
		elif x > arr[mid]:
			return binary_search(arr, (mid + 1), high, x)
		else:
			return binary_search(arr, low, (mid -1), x)
	return -1",1.0,0.0
"Write a function that matches a string that has an 'a' followed by one or more 'b's. https://www.w3resource.com/python-exercises/re/python-re-exercise-3.php
import re
def text_match_zero_one(text):","import re
def text_match_zero_one(text):
    pattern = 'ab+'
    if re.search(pattern, text):
        return 'Found a match!'
    else:
        return 'Not matched!'","Error: .
 Solution: import re
def text_match_zero_one(text):
    pattern = 'ab+'
    if re.search(pattern, text):
        return 'Found a match!'
    else:
        return 'Not matched!'.
 Test: def check():
    assert text_match_zero_one(""ac"")==False
    assert text_match_zero_one(""dc"")==False
    assert text_match_zero_one(""abbbba"")==True
    assert text_match_zero_one(""dsabbbba"")==True
    assert text_match_zero_one(""asbbbba"")==False
    assert text_match_zero_one(""abaaa"")==True

Correct Solution:import re
def text_match_zero_one(text):
        patterns = 'ab+?'
        if re.search(patterns,  text):
                return True
        else:
                return False",0.0,0.0
"Write a python function to count the number of equal numbers from three given integers.

def test_three_equal(x,y,z):","def test_three_equal(x, y, z):
    if x == y == z:
        return 3
    elif x == y or y == z or x == z:
        return 2
    else:
        return 0","The solution passed all test cases.
Correct Solution:def test_three_equal(x,y,z):
  result = set([x,y,z])
  if len(result)==3:
    return 0
  else:
    return 4-len(result)",1.0,0.0
"Write a function to get the sum of the digits of a non-negative integer.

def sum_digits(n):","def sum_digits(n):
    return sum((int(digit) for digit in str(n)))","The solution passed all test cases.
Correct Solution:def sum_digits(n):
  if n == 0:
    return 0
  else:
    return n % 10 + sum_digits(int(n / 10))",1.0,0.0
"Write a function to sort a list of tuples using the second value of each tuple.

def subject_marks(subjectmarks):","def subject_marks(subjectmarks):
    return sorted(subjectmarks, key=lambda x: x[1])","The solution passed all test cases.
Correct Solution:def subject_marks(subjectmarks):
#subject_marks = [('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])
 subjectmarks.sort(key = lambda x: x[1])
 return subjectmarks",1.0,0.0
"Write a function to check whether the given number is undulating or not.

def is_undulating(n): ","def is_undulating(n):
    s = str(n)
    if len(s) < 3:
        return False
    if len(set(s)) != 2:
        return False
    for i in range(2, len(s)):
        if s[i] != s[i - 2]:
            return False
    return True","The solution passed all test cases.
Correct Solution:def is_undulating(n): 
	n = str(n)
	if (len(n) <= 2): 
		return False
	for i in range(2, len(n)): 
		if (n[i - 2] != n[i]): 
			return False
	return True",1.0,0.0
"Write a python function to find the last digit in factorial of a given number.

def last_Digit_Factorial(n): ","def last_Digit_Factorial(n):
    if n == 0:
        return 1
    res = 1
    for i in range(1, n + 1):
        res *= i
        res %= 10
        if res == 0:
            return 0
    return res","The solution passed all test cases.
Correct Solution:def last_Digit_Factorial(n): 
    if (n == 0): return 1
    elif (n <= 2): return n  
    elif (n == 3): return 6
    elif (n == 4): return 4 
    else: 
      return 0",1.0,0.0
"Write a function to find the volume of a cube given its side length.

def volume_cube(l):","def volume_cube(l):
    return l ** 3","The solution passed all test cases.
Correct Solution:def volume_cube(l):
  volume = l * l * l
  return volume",1.0,0.0
"Write a function to calculate the area of a regular polygon given the length and number of its sides.
from math import tan, pi
def area_polygon(s, l):","from math import tan, pi
def area_polygon(s, l):
    return s * l ** 2 / (4 * tan(pi / s))","The solution passed all test cases.
Correct Solution:from math import tan, pi
def area_polygon(s, l):
  area = s * (l ** 2) / (4 * tan(pi / s))
  return area",1.0,0.0
"We say that an element is common for lists l1, l2, l3 if it appears in all three lists under the same index. Write a function to find common elements from three lists. The function should return a list.

def extract_index_list(l1, l2, l3):","def extract_index_list(l1, l2, l3):
    common_elements = []
    min_length = min(len(l1), len(l2), len(l3))
    for i in range(min_length):
        if l1[i] == l2[i] == l3[i]:
            common_elements.append(l1[i])
    return common_elements","The solution passed all test cases.
Correct Solution:def extract_index_list(l1, l2, l3):
    result = []
    for m, n, o in zip(l1, l2, l3):
        if (m == n == o):
            result.append(m)
    return result",1.0,0.0
"Write a function to find the Eulerian number a(n, m).

def eulerian_num(n, m): ","def eulerian_num(n, m):
    if m < 0 or m >= n:
        return 0
    if n == 0:
        return 1
    return (n - m) * eulerian_num(n - 1, m - 1) + (m + 1) * eulerian_num(n - 1, m)","Error: .
 Solution: def eulerian_num(n, m):
    if m < 0 or m >= n:
        return 0
    if n == 0:
        return 1
    return (n - m) * eulerian_num(n - 1, m - 1) + (m + 1) * eulerian_num(n - 1, m).
 Test: def check():
    assert eulerian_num(3, 1) == 4
    assert eulerian_num(4, 1) == 11
    assert eulerian_num(5, 3) == 26

Correct Solution:def eulerian_num(n, m): 
	if (m >= n or n == 0): 
		return 0 
	if (m == 0): 
		return 1 
	return ((n - m) * eulerian_num(n - 1, m - 1) +(m + 1) * eulerian_num(n - 1, m))",0.0,0.0
"Write a function that takes in an integer n and calculates the harmonic sum of n-1.

def harmonic_sum(n):","def harmonic_sum(n):
    if n <= 1:
        return 0.0
    total = 0.0
    for i in range(1, n):
        total += 1 / i
    return total","Error: .
 Solution: def harmonic_sum(n):
    if n <= 1:
        return 0.0
    total = 0.0
    for i in range(1, n):
        total += 1 / i
    return total.
 Test: def check():
    assert math.isclose(harmonic_sum(7), 2.5928571428571425, rel_tol=0.001)
    assert math.isclose(harmonic_sum(4), 2.083333333333333, rel_tol=0.001)
    assert math.isclose(harmonic_sum(19), 3.547739657143682, rel_tol=0.001)

Correct Solution:def harmonic_sum(n):
  if n < 2:
    return 1
  else:
    return 1 / n + (harmonic_sum(n - 1)) ",0.0,0.0
"Write a python function to count the number of positive numbers in a list.

def pos_count(list):","def pos_count(lst):
    count = 0
    for num in lst:
        if num > 0:
            count += 1
    return count","The solution passed all test cases.
Correct Solution:def pos_count(list):
  pos_count= 0
  for num in list: 
    if num >= 0: 
      pos_count += 1
  return pos_count ",1.0,0.0
"Write a python function to check whether the given two integers have opposite sign or not.

def opposite_Signs(x,y): ","def opposite_Signs(x, y):
    return x ^ y < 0","The solution passed all test cases.
Correct Solution:def opposite_Signs(x,y): 
    return ((x ^ y) < 0); ",1.0,0.0
